Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Firle Beacon,FIB,B,Spot Height,712,50 50.025N 000 06.498E,,11,E,Brighton,54856 10592,FIB,FIB
Filey,FIL,A,Rail/A165,138,54 11.508N 000 17.979W,,31,NE,York,51104 47867,FIL,FIL
Finmere,FIM,A,A421/A4421,390,51 59.318N 001 04.164W,,11,ESE,Banbury,46400 23265,FIM,FIM
Finavon,FIN,B,A94/B957,131,56 42.318N 002 49.643W,,14,NNE,Dundee,34944 75737,FIN,FIN
Fishguard,FIS,B,Roundabout,295,51 59.198N 004 59.391W,,44,NW,Swansea,19480 23624,FIS,FIS
Flamborough,FLA,A,Lighthouse,135,54 06.982N 000 04.963W,,36,ENE,York,52542 47064,FLA,FLA
Four Marks,FMA,C,Station,640,51 06.819N 001 02.825W,,4,S,Lasham,46680 13536,FMA,FMA
Fort William NE,FNE,D,Field,66,56 52.561N 005 02.933W,,3,NE,Fort William,21430 78021,FNE,FNE
Falmouth NW,FNW,B,A39 roundabout,180,50 09.752N 005 05.980W,,39,WSW,Plymouth,17871 03377,FNW,FNW
Fort Augustus,FOA,A,Lighthouse,817,57 08.761N 004 40.525W,,25,SW,Inverness,23823 80930,FOA,FOA
Fordoun,FOD,A,A90/B967,205,56 52.182N 002 24.742W,,19,SSW,Aberdeen,37496 77543,FOD,FOD
Folkestone,FOL,A,M20 J11/ B2086,246,51 05.723N 001 02.967E,,12,S,Canterbury,61362 13732,FOL,FOL
Fordingbridge,FOR,A,A338/River Bridge,194,50 55.709N 001 47.191W,,8,S,Salisbury,41510 11436,FOR,FOR
Foston,FOS,A,A64/Rail Bridge,128,54 04.221N 000 55.239W,,8,NE,York,47073 46436,FOS,FOS
Fovant,FOV,C,A30/T junction,351,51 03.156N 001 59.938W,,8,W,Salisbury,40017 12814,FOV,FOV
Freuchie,FRE,A,A92/912/914,345,56 14.016N 003 09.356W,,13,SE,Perth,32844 70516,FRE,FRE
Fridaythorpe,FRI,A,A166/B1251,102,54 01.218N 000 39.720W,,15,ENE,York,48776 45908,FRI,FRI
Frome,FRO,C,A362/B3092,240,51 13.699N 002 19.348W,,9,S,Bath,37758 14773,FRO,FRO
Framlingham,FRW,D,Windmill,148,52 13.906N 001 17.897E,,11,NE,Ipswich,62533 26441,FRW,FRW
Fort William,FTW,A,A82/Rail Br,33,56 49.566N 005 05.207W,,48,SW,Inverness,21174 77476,FTW,FTW
Gainsborough Power Station,GA2,A,Chimney,665,53 21.783N 000 48.645W,,13,NW,Lincoln,47924 38579,GA2,GA2
Galashiels,GAA,B,A6091/River Br,30,55 36.207N 002 46.803W,,27,WSW,Berwick,35095 63470,GAA,GAA
Garboldisham,GAB,A,A1066/B1111(E),161,52 23.713N 000 56.815E,,19,SW,Norwich,60060 28155,GAB,GAB
Garforth,GAF,B,Rail/A642,75,53 47.818N 001 22.979W,,14,SW,York,44074 43358,GAF,GAF
Gargrave West,GAG,A,Rail br over A65,490,53 59.492N 002 08.243W,,26,E,Lancaster,39109 45506,GAG,GAG
Gainsborough,GAI,A,A631/River Bridge,56,53 23.523N 000 46.628W,,13,NW,Lincoln,48142 38905,GAI,GAI
Gallowfauld,GAL,A,A929/A928,394,56 32.907N 002 56.356W,,4,N,Dundee,34235 74000,GAL,GAL
Garten,GAR,C,Station,623,57 14.898N 003 45.152W,,16,SE,Inverness,29435 81887,GAR,GAR
Gateshead East,GAT,C,A194(M)/A184,138,54 56.752N 001 30.933W,,4,W,Newcastle,43113 56135,GAT,GAT
Gaydon,GAY,A,M40 J12/B4451,203,52 11.559N 001 27.538W,,10,NW,Banbury,43708 25507,GAY,GAY
