Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Mossat,MOS,A,A944/A97,656,57 15.801N 002 52.172W,,24,NNW,Aberdeen,34765 81952,MOS,MOS
Mortimer Church,MOT,D#,Church Spire,295,51 22.569N 001 03.706W,,11,N,Lasham,46540 16454,MOT,MOT
Moulton Church,MOU,C#,Church tower,148,52 14.953N 000 29.300E,,13,E,Cambridge,56996 26414,MOU,MOU
Moy Lodge,MOY,B,House,837,56 54.991N 004 33.750W,,18,ENE,Fort William,24410 78350,MOY,MOY
Margate E,MRE,A,N Foreland Lighthouse,98,51 22.483N 001 26.706E,,14,ENE,Canterbury,63986 16960,MRE,MRE
Marham,MRM,C##!,A/F R/Ws 24/29,75,52 38.622N 000 32.367E,124.150,26,W,Norwich,57191 30813,MRM,MRM
Market Rasen,MRN,A,Rail/A631,82,53 23.229N 000 20.074W,,12,NNE,Lincoln,51086 38910,MRN,MRN
Maryport,MRY,B,A 598 bridge,30,54 42.696N 003 29.824W,,22,WSW,Carlisle,30365 53621,MRY,MRY
Mansfield SE,MSE,A,A617/A6191,384,53 07.500N 001 08.570W,,23,WSW,Lincoln,45746 35899,MSE,MSE
Methwold,MTD,C,Road Junction,60,52 31.352N 000 33.517E,,25,NE,Cambridge,57368 29470,MTD,MTD
Mottisfont Station,MTF,C#,B3084/rail,80,51 02.037N 001 32.837W,,21,WSW,Lasham,43184 12616,MTF,MTF
Moota Hill,MTH,A,A595/B5301,656,54 42.820N 003 19.022W,,18,WSW,Carlisle,31525 53620,MTH,MTH
Melton Mast,MTM,C,Tall Aerial Mast,213,52 48.068N 000 48.035W,,9,SW,Grantham,48096 32329,MTM,MTM
Montrose,MTR,C,Station,66,56 42.785N 002 28.325W,,20,NW,Dundee,37120 75803,MTR,MTR
Mudford Gate,MUD,D,Old Tollhouse,725,50 54.236N 003 37.324W,,12,NNW,Exeter,28604 11286,MUD,MUD
Mumbles Head,MUM,B#,Lifeboat station,30,51 34.194N 003 58.447W,,5,S,Swansea,26328 18752,MUM,MUM
Mundford,MUN,A#,A134/A1065 Rbt,98,52 30.548N 000 39.364E,,26,E,Cambridge,58035 29345,MUN,MUN
Mursley,MUR,C,White Water Tower,390,51 57.346N 000 48.785W,,11,NW,Dunstable,48166 22925,MUR,MUR
Murton,MUT,C#,Murton village,853,54 35.554N 002 25.190W,,25,SE,Carlisle,37297 52201,MUT,MUT
Methven,MVN,C,Church Spire,394,56 24.958N 003 34.868W,,5,W,Perth,30255 72598,MVN,MVN
Mallwyd,MWD,A,Bridge,262,52 42.010N 003 41.168W,,34,W,Shrewsbury,28616 31272,MWD,MWD
Middle Wallop,MWP,A##!,Control Tower,300,51 08.963N 001 34.173W,118.600,10,ENE,Salisbury,43021 13899,MWP,MWP
Mynd S,MY2,D#,Wood,722,52 26.450N 002 56.000W,,16,SSW,Shrewsbury,33665 28295,MY2,MY2
Mynd N,MY3,D,Shepherd's Hut,1083,52 36.188N 002 52.400W,,10,SSW,Shrewsbury,34095 30095,MY3,MY3
Mynd,MYN,C#,Clubhouse/Hangar,1411,52 31.119N 002 52.857W,129.980,14,SSW,Shrewsbury,34032 29156,MYN,MYN
Monzie,MZI,D,River bridge,380,56 24.262N 003 49.142W,,12,W,Perth,28784 72505,MZI,MZI
New Abbey,NAB,A,A719 river Br,30,54 58.832N 003 37.384W,,5,S,Dumfries,29622 56631,NAB,NAB
Naseby East,NAE,A,A508 bridge over A14,302,52 23.979N 000 54.978W,,9,N,Northampton,47383 27851,NAE,NAE
Nailsworth,NAI,B,A46/B4014,190,51 41.719N 002 13.062W,,14,SW,Cheltenham,38505 19964,NAI,NAI
Narberth N,NAN,A,AA40/A478,295,51 49.002N 004 43.713W,,30,WNW,Swansea,21203 21664,NAN,NAN
Naseby West,NAW,A,A5199 bridge over A14,292,52 23.791N 001 01.861W,,10,NNW,Northampton,46603 27805,NAW,NAW
Norham Bridge,NBR,A,R Tweed Bridge,150,55 43.139N 002 10.549W,,6,WSW,Berwick,38905 64730,NBR,NBR
Newchurch,NCH,C,Church,842,52 08.956N 003 08.827W,,38,WNW,Gloucester,32161 25073,NCH,NCH
Needles,NDL,A,Lighthouse,1,50 39.740N 001 35.481W,,23,WSW,Portsmouth,42898 08482,NDL,NDL
North Duffield,NDU,B#,A163/minor road,26,53 49.411N 000 57.489W,,9,SE,York,46868 43686,NDU,NDU
New Cumnock,NEC,A#,A76/River,656,55 24.070N 004 10.970W,,27,S,Glasgow,26187 61408,NEC,NEC
New Deer,NED,B,A948/B9170,394,57 30.654N 002 11.596W,,21,N,Aberdeen,38852 84676,NED,NED
Needham Market E,NEE,A,A14/A140,82,52 08.775N 001 04.777E,,7,NNW,Ipswich,61081 25425,NEE,NEE
Nefyn,NEF,A#,A497/ B4412,48,52 55.483N 004 32.050W,,62,WSW,Chester,22974 33937,NEF,NEF
New Galloway,NEG,A,A712/River,164,55 04.872N 004 07.891W,,18,W,Dumfries,26403 57838,NEG,NEG
Newmill,NEM,B,Bridge over R Teviot,475,55 23.083N 002 51.753W,,29,N,Carlisle,34545 61042,NEM,NEM
Newbury N,NEN,C,Roundabout,295,51 25.044N 001 19.392W,,1,N,Newbury,44716 16893,NEN,NEN
Newbury South,NES,A,Bridge over A34,289,51 20.881N 001 20.394W,,3,SSW,Newbury,44607 16120,NES,NES
Newtown,NET,C,A489/Rail Bridge,246,52 30.786N 003 18.438W,,23,WSW,Shrewsbury,31138 29138,NET,NET
Newbury Racecourse,NEW,C,W side Grandstands,249,51 23.832N 001 18.514W,,0.5,E,Newbury,44820 16669,NEW,NEW
North Hill N,NH2,D#,T junction,785,50 52.542N 003 17.295W,,13,NE,Exeter,30946 10926,NH2,NH2
North Hill,NHL,D##,Gliding Club Hangar,921,50 51.158N 003 16.076W,129.905,12,NE,Exeter,31084 10667,NHL,NHL
Northleach,NLE,A,A40/A429 R'bout,213,51 50.264N 001 50.140W,,9,ESE,Cheltenham,41142 21547,NLE,NLE
Newmarket,NMT,A#!,A14/A142,115,52 16.064N 000 23.582E,,9,E,Cambridge,56339 26598,NMT,NMT
Newcastle on Clun,NOC,B,B4368 crossroads,705,52 26.035N 003 06.574W,,21,SW,Shrewsbury,32466 28235,NOC,NOC
Norman Cross,NOR,A,A1/A15 R'bout,92,52 30.147N 000 17.612W,,5,SW,Peterborough,51593 29076,NOR,NOR
Northampton South,NOS,A,M1 J15/A508,292,52 11.150N 000 53.719W,,4,S,Northampton,47562 25475,NOS,NOS
Northampton West,NOW,A,M1 J16/A45,276,52 13.804N 001 00.963W,,5,W,Northampton,46730 25955,NOW,NOW
Newport Pagnall,NPT,A,M1 Services Bridge,220,52 05.004N 000 44.896W,,10,SSE,Northampton,48587 24352,NPT,NPT
Nunraw Abbey,NRA,D,Northernmost corner of abbey buildings,640,55 55.329N 002 39.157W,,18,E,Edinburgh,35931 67009,NRA,NRA
Northallerton,NRT,C,Station,125,54 20.002N 001 26.522W,,12,SSE,Darlington,43638 49323,NRT,NRT
Newton Stewart,NST,A,Roundabout,70,54 57.008N 004 28.805W,,31,W,Dumfries,24127 56454,NST,NST
N Tawton,NTA,C,Road Junction,445,50 47.987N 003 53.859W,,15,WNW,Exeter,26637 10174,NTA,NTA
Nethybridge,NTB,A,River Bridge,689,57 15.891N 003 39.479W,,21,SE,Inverness,30010 82057,NTB,NTB
Neenton,NTN,C,Church,574,52 29.178N 002 32.142W,,16,SE,Shrewsbury,36372 28773,NTN,NTN
Nunney,NUN,B,A359/A361,469,51 12.028N 002 22.689W,,10,S,Bath,37368 14465,NUN,NUN
Newark,NWK,A,A1/A46,39,53 05.611N 000 47.190W,,13,SW,Lincoln,48136 35583,NWK,NWK
Newent,NWT,C,B4215/B4216(E),187,51 56.025N 002 24.469W,,12,W,Cheltenham,37206 22622,NWT,NWT
Nympsfield Finish East,NY1,D#,Site boundary,732,51 43.010N 002 16.517W,,13,SW,Cheltenham,38108 20205,NY1,NY1
Nympsfield Finish West,NY2,D#,Tumulus,745,51 42.752N 002 17.564W,,13,SW,Cheltenham,37987 20157,NY2,NY2
Nympsfield,NYM,C#,Clubhouse,700,51 42.914N 002 16.881W,129.980,13,SW,Cheltenham,38066 20187,NYM,NYM
Oakham E,OAE,A,A606/A6003 rbout,330,52 40.043N 000 42.814W,,13,E,Leicester,48709 30852,OAE,OAE
Oakington,OAK,A,A604/B1050,148,52 15.448N 000 01.375E,,5,NW,Cambridge,53817 26407,OAK,OAK
Oban Airfield,OBA,A##,R/W 19/22,20,56 27.911N 005 23.984W,118.055,4,NE,Oban,19066 73552,OBA,OBA
Oban Station,OBN,B,Rail Station,33,56 24.728N 005 28.458W,,0,N/A,Oban,18577 72985,OBN,OBN
Odiham,ODI,A##!,A/F R/Ws 28/23,405,51 14.069N 000 57.063W,131.300,5,NE,Lasham,47333 14889,ODI,ODI
Ogbourne,OGB,C,A346 T-junction,450,51 28.040N 001 42.536W,,7,S,Swindon,42032 17430,OGB,OGB
Okehampton East,OKE,A,B3260 Bridge over A3,394,50 44.388N 003 57.668W,,19,W,Exeter,26172 09519,OKE,OKE
Ollerton,OLL,A,A614/A616/A6075,197,53 12.059N 001 01.623W,,18,W,Lincoln,46509 36754,OLL,OLL
Olney,OLN,B,Church Spire,161,52 08.991N 000 42.061W,,8,W,Bedford,48898 25097,OLN,OLN
Old Radnor,ORA,B,A44/B4362,610,52 13.823N 003 05.367W,,20,NW,Hereford,32569 25969,ORA,ORA
Osbournby,OSB,A,A15/A52 R'bout,240,52 55.104N 000 24.388W,,8,E,Grantham,50724 33685,OSB,OSB
Oswestry,OSW,C,A495/Rail,479,52 52.369N 003 00.614W,,14,NW,Shrewsbury,33210 33107,OSW,OSW
Ottercops Moss,OTM,A#,Spot Height 1083 ft,1083,55 12.039N 002 05.268W,,22,NW,Newcastle,39451 58960,OTM,OTM
Oundle,OUN,A,A605/A427 R'bout,249,52 29.285N 000 27.551W,,10,SW,Peterborough,50472 28891,OUN,OUN
Ousby E,OUS,D,Crossroads,623,54 42.351N 002 34.758W,,16,SE,Carlisle,36277 53469,OUS,OUS
Overton,OVE,A,Rail/B3051,360,51 15.195N 001 15.841W,,10,WNW,Lasham,45146 15071,OVE,OVE
Oxford East,OXF,A,A40/A4142 R'bout,269,51 45.780N 001 11.824W,,2,E,Oxford,45551 20745,OXF,OXF
Oxford M40 Services,OXM,A,Bridge over M40,213,51 44.403N 001 05.726W,,6,E,Oxford,46256 20498,OXM,OXM
Oxford North,OXN,A,A34/A44 R'bout,299,51 47.675N 001 17.159W,,2,NNW,Oxford,44934 21090,OXN,OXN
Oxford South,OXS,C,River/A4074 Bridge,289,51 43.499N 001 14.488W,,1.5,SW,Oxford,45249 20319,OXS,OXS
Oxton,OXT,A,A68/A697,82,55 46.275N 002 47.282W,,17,SE,Edinburgh,35066 65338,OXT,OXT
Pateley SE,PA2,D,T junction,365,54 04.465N 001 44.407W,,24,WNW,York,41710 46431,PA2,PA2
Paddock Wood,PAD,C#,Station/B2160 Bridge,367,51 10.954N 000 23.197E,,7,SW,Maidstone,56690 14530,PAD,PAD
Pangbourne,PAN,B#,Br over R Thames,140,51 29.217N 001 05.133W,,18,N,Lasham,46359 17684,PAN,PAN
Papworth,PAP,A,A1198/B1040,115,52 15.394N 000 07.392W,,10,WNW,Cambridge,52820 26370,PAP,PAP
Parham,PAR,D#,Clubhouse,110,50 55.317N 000 28.436W,129.980,10,NW,Brighton,50736 11472,PAR,PAR
Pateley Bridge,PAT,A,B6265 br over River,360,54 05.117N 001 45.690W,,25,WNW,York,41570 46551,PAT,PAT
Pencombe,PCM,C,Crossroads,486,52 10.278N 002 35.250W,,8,NNE,Hereford,35992 25272,PCM,PCM
Porthcawl North,PCN,A,M4 J37,85,51 30.968N 003 41.644W,,12,SE,Swansea,28255 18105,PCN,PCN
Portmoak Caravan Site,PCS,D#,Centre of Caravan Site,360,56 11.558N 003 19.957W,,15,N,Edinburgh,31740 70080,PCS,PCS
Pontefract,PCT,A,M62 J33/A1,30,53 41.750N 001 16.071W,,23,SSW,York,44844 42240,PCT,PCT
Porthmadog East Bridge,PEB,A,Road/Rail Bridge,20,52 55.477N 004 03.332W,,49,WNW,Shrewsbury,26191 33833,PEB,PEB
Peebles,PEE,B,B7062/River Br,30,55 39.075N 003 11.565W,,12,S,Edinburgh,32504 64039,PEE,PEE
Penrith,PEI,A,M6 J40/A66,144,54 39.191N 002 45.612W,,15,SSE,Carlisle,35105 52894,PEI,PEI
Pembroke Dock,PEM,A,A477 bridge,65,51 42.406N 004 56.016W,,35,W,Swansea,19740 20497,PEM,PEM
Pendock,PEN,C,B4208 br. over M50,200,51 59.723N 002 19.074W,,11,NW,Cheltenham,37827 23304,PEN,PEN
Peterborough,PET,B,Stn/A1179 Br,33,52 34.408N 000 14.949W,,0,N/A,Peterborough,51875 29873,PET,PET
Peveril Castle,PEV,C,Castle,1050,53 20.393N 001 46.655W,,24,NNW,Derby,41491 38258,PEV,PEV
Pewsey,PEW,B,Rail br over Road,420,51 20.558N 001 46.215W,,16,W,Newbury,41610 16042,PEW,PEW
Pitsligo,PGO,B,A950/B9093,525,57 35.290N 002 11.289W,,26,N,Aberdeen,38885 85536,PGO,PGO
Pickenham,PIC,C,Mast,131,52 38.080N 000 43.394E,,19,W,Norwich,58438 30758,PIC,PIC
Penrith East,PIE,A,W end of lake,354,54 40.088N 002 41.712W,,15,SE,Carlisle,35526 53056,PIE,PIE
Pitsford,PIT,A!#,Causeway W,299,52 19.452N 000 51.374W,,4,N,Northampton,47805 27018,PIT,PIT
Pickering,PKG,C,A169/A170,348,54 14.648N 000 46.505W,,20,NE,York,47992 48385,PKG,PKG
Peterlee,PLE,A#!,A19/A181,102,54 44.276N 001 21.838W,,14,NE,Darlington,44105 53829,PLE,PLE
Plumpton,PLM,A,A6/B6413,453,54 43.576N 002 46.837W,,11,SSE,Carlisle,34982 53709,PLM,PLM
Pluckley,PLU,C,Station,302,51 09.383N 000 44.852E,,9,SE,Maidstone,59223 14327,PLU,PLU
Pitlochry,PLY,C,Loch Faskally dam,197,56 41.964N 003 44.429W,,20,NNW,Perth,29352 75776,PLY,PLY
Pontsticill Reservoir,PNS,A,W end of dam wall,1079,51 47.868N 003 21.959W,,29,SW,Hereford,30590 21190,PNS,PNS
Portsmouth N,PNT,A#,A3/B2177,280,50 51.205N 001 03.181W,,3,NNE,Portsmouth,46676 10641,PNT,PNT
Parham NW,PNW,D#,Farmhouse,110,50 55.670N 000 28.640W,,10,NW,Brighton,50711 11537,PNW,PNW
Portmoak NW,PO1,B#,Castle Keep,360,56 12.052N 003 23.521W,,16,N,Edinburgh,31373 70179,PO1,PO1
Portmoak W,PO2,B#,Coastline,360,56 11.477N 003 20.995W,,16,N,Edinburgh,31632 70067,PO2,PO2
Potarch Bridge,POA,A#,B993 Br over R Dee,330,57 03.905N 002 38.932W,,18,W,Aberdeen,36075 79730,POA,POA
Pocklington,POC,C#,A/F R/Ws 19/31,87,53 55.559N 000 47.687W,118.685,10,E,York,47924 44843,POC,POC
Pontypool Folly,POF,D,Tower,958,51 43.008N 003 01.289W,,21,SW,Hereford,32953 20250,POF,POF
Pontesbury Hill,POH,A,1049 Spot Height,1049,52 38.283N 002 52.444W,,6,SW,Shrewsbury,34095 30484,POH,POH
Polegate,POL,C,A22/Rail,125,50 49.276N 000 14.276E,,12,WSW,Hastings,55773 10480,POL,POL
Popham,POP,A,M3 J8/A303,499,51 12.063N 001 11.459W,,6,W,Lasham,45662 14496,POP,POP
Portmoak Clubhouse,POR,C#,Clubhouse,360,56 11.328N 003 19.311W,129.980,15,N,Edinburgh,31806 70036,POR,POR
Potton,POT,C,Aerial Mast,174,52 07.810N 000 14.514W,,7,E,Bedford,52044 24944,POT,POT
Powburn,POW,C,River/A697,49,55 26.881N 001 54.544W,,15,S,Berwick,40585 61713,POW,POW
Pontypool E,PPE,A,Reservoir Dam W,249,51 40.903N 002 58.750W,,24,SSW,Hereford,33240 19856,PPE,PPE
Pontypool N,PPN,C,Canal Bridge,335,51 43.131N 003 00.692W,,22,SSW,Hereford,33022 20272,PPN,PPN
Port Appin,PPP,C,Pier House,35,56 33.277N 005 24.621W,,9,N,Oban,19050 74550,PPP,PPP
Park Control Point E,PR1,D,Y-junction,656,51 08.166N 002 09.717W,,14,WNW,Salisbury,38877 13744,PR1,PR1
Presteigne,PRE,C,River Bridge,308,52 16.527N 003 00.189W,,16,NW,Hereford,33165 26462,PRE,PRE
Prince's Risborough,PRI,A#,Rail Junction,377,51 43.203N 000 50.676W,,13,E,Oxford,47991 20300,PRI,PRI
"Park, the",PRK,D#,Hangar,697,51 07.830N 002 14.420W,118.685,15,SSE,Bath,38328 13683,PRK,PRK
Preston North,PRN,A,A6 br over rail,80,53 50.235N 002 44.364W,,13,S,Lancaster,35144 43814,PRN,PRN
Portree,PRT,B,Tower,70,57 24.644N 006 11.479W,,44,SW,Ullapool,14838 84336,PRT,PRT
Pershore se,PSE,A,Road Br over River,167,52 06.243N 002 04.281W,,8,SE,Worcester,39521 24508,PSE,PSE
Portesham,PSH,B,B3157 crossroads,220,50 40.171N 002 33.879W,,17,SSE,Yeovil,36019 08569,PSH,PSH
Pontardulais,PTD,A,M4 J48,98,51 42.562N 004 03.615W,,6,NW,Swansea,25775 20319,PTD,PTD
Port Eynon,PTE,B,Roundabout,20,51 32.659N 004 12.617W,,11,SW,Swansea,24683 18514,PTE,PTE
Petersfield South,PTF,A,A3/Rail Bridge,246,50 59.095N 000 57.487W,,12,SSE,Lasham,47323 12113,PTF,PTF
Perth,PTH,A,M85/River Br,108,56 22.797N 003 24.527W,,2,SE,Perth,31310 72174,PTH,PTH
Porthmadog,PTM,A,A487/A498,36,52 56.366N 004 08.513W,,50,WSW,Chester,25616 34015,PTM,PTM
Pirton,PTN,C,Crossroads,130,52 07.500N 002 10.662W,,5,SSE,Worcester,38793 24742,PTN,PTN
Portsmouth Tower,PTR,A,Tower,380,50 47.735N 001 06.512W,,1,W,Portsmouth,46293 09994,PTR,PTR
Petersfield West,PTW,A,A3/A272,243,51 00.496N 000 57.190W,,11,SSE,Lasham,47354 12373,PTW,PTW
Penwhirn Reservoir,PWN,A,S side of Dam Wall,33,54 59.023N 004 55.506W,,45,W,Dumfries,21293 56937,PWN,PWN
Pwllheli West,PWW,A#,A497/B4415,46,52 53.749N 004 27.162W,,60,W,Shrewsbury,23511 33597,PWW,PWW
Plymouth E,PYE,A,A38/A374,60,50 23.477N 004 05.210W,,2,E,Plymouth,25176 05668,PYE,PYE
Pen-y-Fan,PYF,C,Trig point,2907,51 53.051N 003 26.212W,,22,NE,Swansea,30120 22160,PYF,PYF
Prestatyn S,PYS,D#,T junction,280,53 19.409N 003 23.958W,,20,WNW,Chester,30689 38164,PYS,PYS
Plymouth W,PYW,A,A38/A388,164,50 25.137N 004 14.049W,,4,WNW,Plymouth,24138 06006,PYW,PYW
Ramsbury,RAB,C,River Bridge,360,51 26.514N 001 36.067W,,10,SE,Swindon,42782 17151,RAB,RAB
Radstock,RAD,A,A366/A362/B3139,433,51 16.747N 002 24.600W,,6,SSW,Bath,37150 15341,RAD,RAD
Raglan,RAG,A,A40/A449,279,51 46.025N 002 50.070W,,18,SSW,Hereford,34251 20793,RAG,RAG
Ramsey,RAM,C,B1040/B1096,108,52 26.906N 000 06.356W,,10,SSE,Peterborough,52882 28507,RAM,RAM
Rannoch Station,RAN,A,Rail Station,968,56 41.153N 004 34.601W,,19,ESE,Fort William,24227 75787,RAN,RAN
Ravensthorpe Reservoir,RAR,B,Bridge,351,52 20.024N 001 00.660W,,7,NW,Northampton,46749 27109,RAR,RAR
Ravenglass N,RAV,A,Bridge,26,54 21.984N 003 23.735W,,27,NW,Lancaster,30942 49766,RAV,RAV
Roybridge,RBR,A,River bridge,312,56 53.443N 004 50.462W,,9,ENE,Fort William,22703 78130,RBR,RBR
Rosebush,RBS,A,B4313/B4329,815,51 56.135N 004 49.309W,,38,WNW,Swansea,20611 23010,RBS,RBS
Rothbury,RBY,C,B6341/B6342,118,55 18.600N 001 54.610W,,20,NNW,Newcastle,40580 60177,RBY,RBY
Rattlesden A/F Centre,RDN,C#,Centre of Airfield,284,52 10.083N 000 51.903E,129.980,13,NW,Ipswich,59603 25607,RDN,RDN
Radway,RDW,A,B4086 T Junction,650,52 07.863N 001 26.696W,,5,NNW,Banbury,43810 24823,RDW,RDW
Reading West,REA,A#,M4 J12,165,51 26.337N 001 03.939W,,15,N,Lasham,46504 17152,REA,REA
Reedham,REE,C,Rail Junction Bridge,118,52 33.821N 001 34.204E,,11,ESE,Norwich,64206 30219,REE,REE
Rattray Head,RHD,A,Lighthouse,98,57 36.616N 001 48.994W,,28,NNE,Aberdeen,41106 85782,RHD,RHD
Rhigos,RHI,D#,Building by footpath.,780,51 44.770N 003 34.910W,,15,NE,Swansea,29089 20646,RHI,RHI
Rhossdhu House,RHO,D,N Side of House,49,56 04.234N 004 37.989W,,8,NNE,Greenock,23619 68954,RHO,RHO
Rhuddlan,RHU,A,A525 Br. over river,108,53 17.484N 003 28.417W,,21,WNW,Chester,30187 37817,RHU,RHU
Rhayader,RHY,C,B4518/River Bridge,289,52 17.961N 003 30.836W,,32,WNW,Hereford,29686 26788,RHY,RHY
Rivar Hill North,RI2,D#,T junction,453,51 21.832N 001 33.056W,,8,WSW,Newbury,43137 16281,RI2,RI2
Richmond,RIC,A,A6136 Bridge,130,54 24.237N 001 43.848W,,35,NW,York,41757 50098,RIC,RIC
Ridgewell Church,RID,C#,Church,273,52 02.331N 000 32.121E,,18,ESE,Cambridge,57399 24086,RID,RID
Ringmer,RIN,C#,Gliding Site Hangar,72,50 54.575N 000 06.430E,129.980,10,ENE,Brighton,54824 11435,RIN,RIN
Ripon,RIP,B,Cathedral Tower,102,54 08.105N 001 31.237W,,15,NW,York,43142 47113,RIP,RIP
Rivar Hill,RIV,D#,Centre of Airfield,682,51 20.500N 001 32.566W,129.980,9,WSW,Newbury,43195 16039,RIV,RIV
Ridgewell Field,RIW,D#,NE end of grass airstrip,273,52 02.846N 000 33.533E,118.685,18,ESE,Cambridge,57557 24187,RIW,RIW
Rugby Northeast,RNE,A,M1 J19/M6,279,52 24.224N 001 10.592W,,12,S,Leicester,45612 27873,RNE,RNE
Rhynie,RNI,C,A97/A941,492,57 19.923N 002 50.027W,,25,NW,Aberdeen,34990 82714,RNI,RNI
Roadford,ROA,C,Reservoir Tower,463,50 41.345N 004 14.140W,,18,N,Plymouth,24218 09010,ROA,ROA
Rochester,ROC,A#!,M2 J4/ A278,417,51 20.167N 000 35.089E,,5,NE,Maidstone,58015 16284,ROC,ROC
Rodney's Pillar,ROD,D,Tall monument,1198,52 43.365N 003 02.709W,,10,W,Shrewsbury,32951 31441,ROD,ROD
Rothes,ROH,B,A941/B9015,131,57 31.890N 003 12.505W,,12,SSE,Lossiemouth,32774 84968,ROH,ROH
Ross-on-wye,ROS,A,A40/A49/A449,141,51 54.965N 002 36.054W,,15,W,Cheltenham,35877 22434,ROS,ROS
Rotherham,ROT,A#,M18 J1/A631,135,53 25.419N 001 15.079W,,8,SW,Doncaster,44985 39213,ROT,ROT
Rougham Field,ROU,C#,W end of peritrack S of Highfield Farm,184,52 14.912N 000 46.000E,123.165,24,E,Cambridge,58896 26475,ROU,ROU
Royston,ROY,B,Station Bridge,112,52 03.192N 000 01.586W,,11,SW,Cambridge,53542 24126,ROY,ROY
Redruth SE,RSE,A,A393/B3298,180,50 12.921N 005 10.609W,,42,WSW,Plymouth,17346 03987,RSE,RSE
Rosneath,RSN,D,Pier Land End,49,56 00.338N 004 47.629W,,5,NNW,Greenock,22590 68271,RSN,RSN
Rothesay,RSY,A,A844/B881,43,55 50.253N 005 03.255W,,12,SW,Greenock,20884 66470,RSY,RSY
Rosthwaite,RTH,B,Bridge,312,54 31.549N 003 08.962W,,23,SSW,Carlisle,32571 51511,RTH,RTH
Rufforth South,RU1,D#,Pub,101,53 54.959N 001 10.524W,,4,SW,York,45426 44696,RU1,RU1
Rubha Reidh,RUB,A,Lighthouse,150,57 51.523N 005 48.704W,,21,W,Ullapool,17397 89184,RUB,RUB
Rufforth,RUF,C#,A/F R/Ws 29/35,65,53 57.100N 001 11.332W,129.980,4,W,York,45333 45092,RUF,RUF
Rugby,RUG,A,A426 Br over M45,262,52 20.014N 001 17.697W,,18,SSW,Leicester,44814 27084,RUG,RUG
Ruthin NE,RUN,C,Tower,1818,53 09.267N 003 15.357W,,12,W,Chester,31611 36266,RUN,RUN
Rushden,RUS,A,A6/River Bridge,226,52 19.458N 000 35.905W,,12,ENE,Northampton,49562 27050,RUS,RUS
Ruthin West,RUW,B,A494 Roundabout,197,53 06.653N 003 19.226W,,17,WSW,Chester,31171 35789,RUW,RUW
Ruthven,RVN,D,Ruins,780,57 04.320N 004 02.360W,,25,SSW,Inverness,27646 79973,RVN,RVN
Rutland Water Dam,RWD,A#,Dam,281,52 39.837N 000 36.730W,,19,E,Leicester,49396 30826,RWD,RWD
Rydal Bridge,RYB,C,Bridge,220,54 26.910N 003 00.414W,,26,S,Carlisle,33481 50637,RYB,RYB
Ryde,RYD,B,Roundabout,10,50 43.886N 001 09.374W,,6,SSW,Portsmouth,45963 09277,RYD,RYD
Rye,RYE,B,River/Rail Bridge,33,50 57.323N 000 44.327E,,8,NE,Hastings,59245 12090,RYE,RYE
Sackville,SAC,D#,Gliding Site,250,52 15.867N 000 29.090W,135.480,8,N,Bedford,50350 26400,SAC,SAC
Salisbury Cathedral,SAL,A,Tall Spire,151,51 03.885N 001 47.839W,,0.2,S,Salisbury,41430 12951,SAL,SAL
Sandhill Farm,SAN,D#,Gliding Site Hangar,350,51 36.234N 001 40.591W,129.980,4,NE,Swindon,42250 18950,SAN,SAN
Shap,SAP,A,A6/Rail,880,54 32.111N 002 40.730W,,23,SSE,Carlisle,35617 51576,SAP,SAP
Sarnesfield,SAR,C,A4112/A480,312,52 09.092N 002 55.227W,,10,NW,Hereford,33712 25076,SAR,SAR
Salisbury South,SAS,C,Bridge over River Avon,322,51 02.348N 001 45.364W,,3,S,Salisbury,41720 12667,SAS,SAS
Sandwich,SAW,A,A256/A257 R'bout,240,51 16.763N 001 19.290E,,9,E,Canterbury,63174 15860,SAW,SAW
Saxthorpe,SAX,C,B1149/B1354,135,52 49.825N 001 08.350E,,13,NNW,Norwich,61157 33049,SAX,SAX
Saltby NW,SB2,B,Croxton Kerrial village T junction E,490,52 51.208N 000 45.463W,,6,SW,Grantham,48375 32916,SB2,SB2
Strubby,SBB,C#,R/Ws 26/32,47,53 18.457N 000 10.043E,129.980,25,E,Lincoln,54451 38115,SBB,SBB
Santon Bridge,SBR,C#,Bridge,85,54 24.119N 003 22.332W,,28,NW,Lancaster,31102 50159,SBR,SBR
Saltby,SBY,A#,R/W Triangle,480,52 49.718N 000 42.860W,129.980,6,SW,Grantham,48672 32645,SBY,SBY
Scarborough,SCB,A,Lighthouse,131,54 16.916N 000 23.351W,,30,NE,York,50497 48856,SCB,SCB
Scalford Church,SCF,C,Church Tower,379,52 48.558N 000 52.183W,,14,NE,Leicester,47629 32412,SCF,SCF
Scoulton,SCL,C,T Junct SE of Lake,167,52 34.284N 000 56.141E,,13,WSW,Norwich,59904 30111,SCL,SCL
Strathcarron,SCN,A,Rail br over A890,50,57 25.341N 005 25.736W,,30,SSW,Ullapool,19421 84208,SCN,SCN
Scourie,SCO,A,A894 T junction,20,58 21.089N 005 09.314W,,27,N,Ullapool,21546 94466,SCO,SCO
St Catherine's Point,SCP,A,Lighthouse,30,50 34.530N 001 17.910W,,14,SSW,Portsmouth,44977 07532,SCP,SCP
